author,category,content,date,media,photo,title,url
유인호 기자 sinryu007@asiae.co.kr,,['[아시아경제 유인호 기자] 대신증권은 1일 삼성화재에 대해 지난해 11월 실적이 예상보다 부진한 실적을 보였지만 여전히 투자 매수의견을 유지한다고 밝혔다.대신증권은 매수의견 유지 배경에 대해 “지난해 9월 삼성물산 관련 손상차손 550억원이 반영됐고 12월에는 615억원이 반영될 예정이지만 10월 인식한 삼성증권 지분 처분이익 1017억원을 감안하면 연간 비경상 요인의 영향은 크지 않다고 설명했다.이어 “차별화된 장기 위험손해율과 규모의 경제가 이미 달성된 온라인 자동차보험을 감안할 때 수익성의 차별화가 유지될 수 있다고 판단된다”고 강조했다.아울러 삼성화재는 2017년 1월 자동차보험 기본보험료 인하 결정으로 시장에 큰 충격을 줬지만 오프라인 대비 합산비율이 좋은 온라인 채널의 시장 점유율를 유지·확대시키고자 하는 전략적 판단으로 평가한다고 평가했다.강승건 연구원은 “삼성화재는 보유중인 부동산을 축소시키는 전략을 지속하고 있으며 본사사옥 매각을 통해 1월에 대규모 처분이익을 시현할 것”이라면서도“지난해 12월 매각한 대전 사옥의 경우 지방 부동산 경기 악화로 156억원의 처분 손실이 인식됐으며 투자영업이익 감소 요인으로 작용했다”고 말했다.googletag.cmd.push(function() { googletag.display(\'div-gpt-ad-1484791061427-0\'); }); -->유인호 기자 sinryu007@asiae.co.kr관련기사‘강달러’에도 유지되는 외국인 매수세…트럼프 취임은 ‘변수’오늘의 국제증시 및 금시세中 상하이지수 0.4% 상승 개장[2016 증시결산]삼성전자 등 대형주 반등세'],,아시아경제,,"
삼성화재, 지난해 11월 실적 부진하지만 매수의견 유지",http://view.asiae.co.kr/news/view.htm?idxno=2017010116561387920
 노현우 기자,,"['(서울=연합인포맥스) 노현우 기자 = 삼성물산이 보유 중이던 부산신항만 지분을 아랍에미리트 항만 운영사인 DP월드에 매각한 것으로 확인됐다.3일 관련 업계에 따르면 삼성물산은 작년 말 부산신항만 지분 12.91%를 DP월드에 넘겼다.매각가격은 1천380억원이다. 취득가액인 1천157억원보다 많지만 보유기간이 20년가량 되는 점을 고려하면 자본차액(Capital gain)은 223억원으로 많지 않다.금융권 관계자는 ""지분 가치가 미래 운영수익 등 예상되는 현금흐름을 현재가치로 할인해 산출되는 점을 고려하면 그리 밝지 않은 업황 전망이 반영된 것 같다""고 설명했다.한편, DP월드는 작년 말 삼성그룹으로부터 부산신항만 지분을 사들여 지분율을 66.03%까지 끌어올렸다.DP월드가 인수한 삼성그룹의 부산신항만 지분은 총 23.93%으로 삼성물산 12.91%외에도 삼성생명 6.69%, 삼성화재 3.35%, 삼성전자 0.98% 등이다.건설업계는 삼성물산의 부산신항만 지분 매각을 경영효율화의 일환으로 풀이했다.삼성물산과 함께 건설에 참여했던 대우건설, 대림산업, 롯데건설 등은 지난 2015년 DP월드에 지분을 매각하며 사업에서 철수했다. 현대건설과 금호산업 등도 지난 2015년 부산신항만투자에 보유 지분을 양도하며 투자금을 회수했다.한 대형건설사 관계자는 ""건설사가 10년 넘게 항만 민자사업 지분을 들고 있는 것은 매우 드문 일이다""며 ""비핵심자산 매각을 통해 현금 유입을 기대한 것 같다""고 말했다.해양수산부 관계자는 ""부산신항만이 운영 단계에 들어서면서 건설사보다 운영사의 역할이 중요해지면서 삼성물산 등이 지분을 매각한 것으로 보인다""고 말했다.hwroh@yna.co.kr(끝)저작권자 © 연합인포맥스 무단전재 및 재배포 금지노현우 기자', '많이 본 뉴스1빗발치는 \'3기 신도시\' 반발…김현미 입에 쏠린 관심2한화·SK건설, 지주사 실적 기여도 증가3올해 서울 신규 아파트 절반 분양가 9억원 넘어4GS건설, 베트남 밤콩교량 5년 만에 개통']", 2017.01.03 10:25,연합인포맥스,,"삼성물산, 부산신항만 지분 DP월드에 매각…'1천380억 유입'",http://news.einfomax.co.kr/news/articleView.html?idxno=288753
,,,,,,,https://sports.news.naver.com/volleyball/news/read.nhn?oid=446&aid=0000000076
,,['■프로농구 △모비스-LG(오후 7시·울산동천체육관) MBC 스포츠+■여자농구 △우리은행-국민은행(오후 7시·아산이순신체육관) KBS W■프로배구 △KGC인삼공사-도로공사(오후 5시) KBS N △삼성화재-OK저축은행(오후 7시·이상 대전 충무체육관) KBS N'],2017.01.04 22:45,경향일보,,,http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201701042245005&code=980701
김현민 기자 kimhyun81@asiae.co.kr,,"['[대전=아시아경제 김현민 기자]프로배구 삼성화재와 OK저축은행의 2016-2017 정규리그 경기가 5일 대전 충무실내체육관에서 열렸다. 삼성화재 타이스가 상대 블로킹을 뚫고 공격하고 있다. 김현민 기자 kimhyun81@asiae.co.krgoogletag.cmd.push(function() { googletag.display(\'div-gpt-ad-1484791061427-0\'); }); -->김현민 기자 kimhyun81@asiae.co.kr&lt;ⓒ아시아 대표 석간 \'아시아경제\' (www.newsva.co.kr) 무단전재 배포금지&gt;관련기사[포토]환호하는 블루팡스[포토]환호하는 삼성화재 박철우[포토]득점 환호하는 삼성화재[포토]박철우, \'이번엔 터치아웃 작전\'']",,아시아경제,,"
[포토]팁 공격하는 삼성화재 타이스",http://view.asiae.co.kr/news/view.htm?idxno=2017010520213006295
,,"[' 프로배구 남자부 KB손보의 야전사령관KB손해보험 황택의가 1일 대전 충무체육관에서 열린 삼성화재와의 경기에서 서브를 넣고 있다.KB손해보험 제공새내기 황택의(21)가 데뷔 첫해부터 출장 횟수를 늘리며 케이비(KB)손해보험의 야전사령관으로 거듭나고 있다. 황택의는 1일 대전 충무체육관에서 열린 삼성화재와의 경기에서 4세트를 모두 소화하면서 팀의 3-1 승리를 이끌었다. 팀의 주포인 외국인선수 우드리스와도 호흡이 척척 맞아떨어졌다. 지난해 10월말 신인드래프트로 팀에 합류한 지 겨우 2개월여 만이다. 팀 공격수들과의 호흡이 중요한 세터로서는 상당히 빠른 적응이다. 황택의는 성균관대 2학년에 재학중이던 지난해 학업을 중도에 포기하고 신인드래프트를 신청해 1라운드 1순위로 케이비손해보험에 지명됐다. 상대 블로커를 파악하고 공격수들을 활용하는 영리한 세터라는 평을 들었고, 공격수 못지 않은 큰 키(190㎝)로 가로막기 능력도 갖췄다. 2016년 대학배구리그 1차대회에서 서브 1위를 기록하는 등 서브에도 강점을 지녔다. 2015년 광주 하계유니버시아드, 2016년 아시아배구연맹(AVC)컵에 출전하면서 즉시전력감이라는 평을 들었다.그러나 프로의 벽은 높다. 최근 남자부에서 데뷔 첫해에 주전으로 자리잡는 경우는 거의 없었다. 황택의도 마찬가지였다. 이번 시즌 1라운드에서는 원포인트 서버 등으로 4경기 14세트에 교체 출전했고, 세터로서는 겨우 40개의 공을 띄웠다. 그러나 2라운드 막판 강성형 케이비 손보 감독이 승부수를 띄우면서 황택의에게 기회가 왔다. 강 감독이 팀에 합류한 지 1개여월에 불과한 새내기를 주전센터로 밀기로 하면서 황택의는 11월30일 한국전력과의 경기부터 꾸준히 선발출장했다. 3라운드에서 6경기 25세트로 출장횟수를 늘렸고, 4라운드 들어서는 2경기 8세트를 모두 소화했다. 때마침 팀도 2연승으로 상승세를 타고 있다. 황택의는 4라운드만 보면 세트당 11.87개의 정확한 토스를 올려 이 부문 리그 1위인 한국전력 강민웅(11.40)을 앞선다. 한 세트 20점 이후 박빙의 상황에서 다소 흔들리던 모습도 점차 극복해가는 모습이다.강성형 감독은 삼성화재와의 경기 뒤 “걱정이 됐던 황택의와 우드리스의 호흡이 완벽하게 맞아떨어졌다”며 “앞으로도 황택의를 더욱 중용할 수 있게 됐다”고 말했다. 이찬영 기자 lcy100@hani.co.kr']",2017-01-02 16:30,한겨레,,"새내기 황택의, 데뷔 첫해 주전으로 ‘우뚝’",http://www.hani.co.kr/arti/sports/sports_general/777020.html
,,"['서울 강남 서초동 삼성사옥/김영우 기자삼성그룹이 올해 지배구조 개편에 속도를 낼 것이란 분석이 나왔다.미래에셋대우는 4일 삼성그룹이 공정거래법 개정안 입법화 추진에 앞서 지주회사 전환을 본격 추진할 것으로 분석했다.공정거래법 개정안은 회사 분할 때 보유하고 있는 자사주로 신설 회사 주식을 받는 경우, 의결권 행사를 금지하는 내용이 골자다. 박용진 더불어민주당 의원 등 10인이 발의했으며 현재 국회 정무위원회 계류중에 있다.정대로 연구원은 ""기업이 인적분할을 단행하면 신설 회사는 지주사가 새로운 주주로 등장하면서 지배구조가 바뀌게 된다""며 ""이를 막기 위한 공정거래법 개정안은 주주간 평등 원칙을 감안할 때 그 취지가 상당 부분 인정된다""고 했다.정 연구원은 ""대통령 선거를 앞두고 경제민주화 정책 과정에서 이러한 논의는 충분히 이뤄질 것으로 예상한다""며 ""그 전에 지주사 전환을 끝마치려는 움직임이 본격적으로 나타날 것""이라고 예상했다.삼성그룹의 실질적인 지주회사 역할을 맡고 있는 삼성전자(42,000 +1.94%)는 주주가 삼성생명(81,000 +0.62%)(7.55%), 이건희 회장 외 특수관계인(4.91%) 삼성물산(96,600 -0.82%)(4.25%) 삼성화재(277,000 +0.54%)(1.32%) 삼성재단(0.09%) 등으로 구성돼 있다.이 중 이 회장 외 특수관계인, 계열사 지분을 모두 합쳐도 삼성전자 보유지분은 18.12%에 불과하다. 총수일가의 그룹 지배력이 낮다는 지적이 나오는 이유다.그러나 섬성전자 주식 가치 등을 감안하면 직접적인 지분 확대는 사실상 불가능하다. 따라서 삼성전자의 인적분할을 단행할 것이란 의견이 많다.정 연구원은 ""삼성전자의 주식 가치 등을 감안하면 지분을 직접 사들이기에 자금 부담이 상당하다""며 ""따라서 인적분할을 통해 지주사로 전환할 가능성이 높다""고 했다.또 이 과정에서 보유중인 자사주 12.8%를 활용하기 위해 공정거래법 개정안의 입법화 전 지주사 추진이 본격화 될 것이란 설명이다.정 연구원은 삼성전자 인적분할 이후 지주사가 삼성SDS 정보기술(IT) 부문과 합병할 가능성도 제시했다.그는 ""현재 삼성SDS 주식은 올해 예상 주가수익비율(PER)이 21.7배로 2015년(평균 44배)보다 가치가 줄었다""며 ""총수일가와 그룹 지분 또한 많아 이를 활용할 가능성이 높다""고 말했다.삼성SDS는 주요 주주가 삼성전자(22.6%), 삼성물산(17.1%) 총수일가(17.0%) 등으로 구성돼 있다.정 연구원은 ""삼성SDS IT 부문과 지주사를 합병하면 비용 지출 없이 지분 확보가 상당 부분 가능하다""며 ""다만 계열사 주주들의 순조로운 동의가 필요하다""고 덧붙였다.박상재 한경닷컴 기자 sangjae@hankyung.com']",2017.01.04 14:35,한국경제,,"""삼성그룹, 지배구조 개편 속도낼 것…삼성SDS 활용 가능성도""",https://www.hankyung.com/finance/article/2017010475736
 변명섭 기자,,"['(서울=연합인포맥스) 변명섭 기자 = 보험사 CEO들이 올해도 잔뜩 움츠린 모습을 보이고 있다.금리가 올라 업황이 어려운 데다자살보험금 지급 등 대내외적인 요인들이 맞물려서다. 금융인 신년인사회 등 공식 행사에도 모습을 드러내지 않을 정도로보험사 CEO들이외부활동을 자제하고 있다.4일 보험업계에 따르면 금융권 CEO들이 대거 한자리에 모이는 \'2017 범금융기관 신년인사회\'에서 김창수 삼성생명 사장, 신창재 교보생명 회장, 안민수 삼성화재 사장 등 주요 CEO가 참석하지 않았다.대형사 가운데는 차남규 한화생명 사장, 이철영 현대해상 부회장, 양종희 KB손해보험 사장 등이 행사에 참석해 인사를 나누는 정도에 그쳤다.업계에서는 특히 삼성그룹 계열 보험사 CEO들의 모습을 보기는 쉽지 않다고 입을 모은다.\xa0김창수 삼성생명 사장과 안민수 삼성화재 사장은 공식 임기가 한 달도 채 남지 않은 상황에서 외부행사 참석을 이전보다 자제하고 있다.삼성생명과 삼성화재는 삼성그룹의 실질적인 자금줄 역할을 하는 주요 계열사로 그룹전체가 언론에 주목을 받는 상황에서 외부활동으로 얻는 손실이 득보다 더 크다고 보고 있는 것으로 풀이된다.생보사의 한 관계자는 ""삼성그룹이 연일 언론에 주목을 받는 상황에서 계열 보험사 CEO가 외부활동에 적극적으로 나서기는 더욱 힘들어졌을 것으로 보고 있다""며 ""언론 노출을 될 수 있으면 자제하고 있는 것 같다""고 말했다.대형 생명보험사들은 자살보험금 미지급 등으로 인해 금융당국과 껄끄러울 수 있다는 점도 일부 영향을 받았다.삼성생명과 한화생명, 교보생명 등 생명보험사 빅3는 소멸시효가 지난 자살보험금 지급과 관련해 여전히 금융감독원 등과 긴장 관계에 있다.올해도 생명보험업계를 중심으로한 보험사들은 자본확충 부담에서 자유롭지 못하고 대내외적인 미해결 과제들로 인해 CEO들의 활동 폭도 제한적이 될 것으로 예상된다.보험업계 한 관계자는 ""대형사의 경우 자살보험금 지급과 관련해 완전히 해결되지 않는 상태에서 금융당국 등과 인사하는 공식적인 행사가 부담일 수 있을 것 같다""며 ""업황도 여전히 어려워 올해도 보험사 CEO들의 외부활동은 그렇게 활발하지 않을 것으로 보인다""고 말했다.msbyun@yna.co.kr(끝)저작권자 © 연합인포맥스 무단전재 및 재배포 금지변명섭 기자', '많이 본 뉴스1[채권-주간] 美·中 무역분쟁 주목…강세 전망2[오늘 외환딜러 환율 예상레인지]3이주열 ""2분기 경기 전망대로 가는지 점검…환율은 지켜보자""(상보)4외환당국 ""특정시간대 대규모 일방향 거래 살필 것""(상보)5韓·美 장기금리 하락…미중 무역분쟁 지속6홍남기 ""환율 변동성 확대 경향…이상 쏠림에 정부 대응 준비""(상보)7외환당국 ""특정 시간대 대규모 일방향 거래 면밀히 살필 것""8[뉴욕채권-주간] 미·중 갈등 지속…FOMC 의사록·파월 연설 주목9국고 10년 1.0조 1.845%에 낙찰…응찰 3.4조(상보)10前인민은행 당국자 ""달러당 7위안 돌파는 손해가 더 많아""']", 2017.01.04 08:55,연합인포맥스,,금리 오르고  업황도 어수선…외부활동 움츠린 보험사 CEO,http://news.einfomax.co.kr/news/articleView.html?idxno=288931
,,,,,,,https://sports.news.naver.com/volleyball/news/read.nhn?oid=446&aid=0000000078
김기남 기자 kknphoto@kyunghyang.com,,"['-->5일 대전 충무체육관에서 열린 프로배구 2016~2017 시즌 V리그 남자부 삼성화재 대 OK저축은행의 경기에서 삼성화재 박철우,손태훈,류윤식이 OK 모하메드의 공격을 브로킹 하고 있다.']",2017.01.05 20:19,경향일보,,,http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201701052019001&code=980300
