Media,Date,Title,Url,Content
경향신문,2014.05.04,고객들 불만 많은 보험사는 ING생명·AIG손해보험,http://www.khan.co.kr/kh_news/art_view.html?artid=201405041105311&code=920401,ING생명과 AIG손해보험 등 외국계 보험사들이 5년째 고객에게 가장 자주 불만을 사는 보험사로 평가됐다. 4일 금융권에 따르면 금융감독원 민원발생 평가에서 생명보험사 중에서는 ING생명 PCA생명 알리안츠생명이 지난해까지 5년 연속 최하위인 5등급을 받았다. 외국계 생보사인 ACE생명과 라이나생명도 지난해 각각 5등급과 4등급을 받아 고객 불만이 적지 않은 것으로 나타났다. 이에 비해 농협생명 교보생명 흥국생명은 지난해 1등급을 받았다.손해보험사 중에서는 과거 차티스손해보험이었던 AIG손보와 ACE아메리칸손보가 지난해까지 5년째 각각 5등급 판정을 받았다. 농협손해보험과 삼성화재는 지난해 1등급을 받았다.금감원은 이처럼 외국계 보험사에 대한 고객 불만이 잦자 금융소비자보호처장이 해당 보험사 소비자총괄책임자와 면담을 하도록 할 방침이다. 이후에도 개선 징후가 보이지 않으면 경영진 면담을 통해 개선을 촉구할 계획이다. 금감원은 이들 최하위 외국계 보험사에 대해서는 민원전담 관리자를 추가 배치하고 민원감독관 파견 또는 검사를 통해 시정하도록 할 예정이다. 
경향신문,2014.05.07,중소형 보험사 자동차보험료 인상 ‘러시’…대형사는?,http://www.khan.co.kr/kh_news/art_view.html?artid=201405070940531&code=920301,손해보험사들이 자동차 보험료를 줄줄이 인상하고 있다. 우선 소비자 반발이 적은 업무용 자동차 보험료를 올리고 시기를 저울질 하며 개인용 자동차 보험료를 인상하고 있다. 대형사들은 현재 보험료 인상을 업무용과 영업용에 국한하고 있지만 그 범위가 확대될 가능성을 배제할 수 없는 상황이다. 7일 손해보험업계에 따르면 더케이손해보험과 MG손해보험이 업무용영업용 자동차보험료를 올리기로 했다. 더케이손보 관계자는 7일 지난해 영업용 차량의 손해율이 130140에 이르러 적정 손해율인 77를 초과했다며 오는 10일부터 자동차 영업용 보험료를 평균 19.1 올리고 업무용은 평균 3.3 인상할 것이라고 밝혔다. 올해 가장 큰 인상 폭이어서 업계에 미치는 파장은 작지 않을 것으로 전망된다.MG손해보험은 지난 1일부터 영업용 자동차보험료를 평균 2.1 업무용을 평균 2.3 각각 올렸다. 흥국화재도 이날부터 업무용 자동차보험료를 3.0 인상한다.MG손해보험과 흥국화재는 또 개인용 자동차보험료를 23 올릴 계획인 것으로 전해졌다.온라인 보험사인 현대하이카다이렉트가 개인용 자동차보험료를 2.8 인상하면서 중소형사의 자동차보험료 인상이 잇따르고 있다. 악사다이렉트와 중형사에 속하는 롯데손해보험도 자동차보험료 인상 폭과 시기를 저울질하고 있다. 앞서 중형사 가운데 한화손해보험이 올해 처음으로 개인용업무용영업용 등 모든 차종에 걸쳐 자동차보험료를 평균 1.513.7 올렸다. 대형 보험사들은 이미 영업용과 업무용 차량에 대해 보험료를 인상했다.삼성화재는 지난 3월 16일부터 영업용 차량에 대해 평균 14.5 지난 3월 31일부터는 업무용 차량에 대해 평균 3.8씩 자동차보험료를 인상했다. 현대해상 동부화재 LIG손해보험 메리츠화재도 지난달 영업용 자동차보험료를 1015 올렸다. 업무용 자동차보험료 인상 폭은 34 수준이다. 
경향신문,2014.05.07,"김영규 여수시장 후보, 선대본부 출범 본격 ‘표심 공략’",http://www.khan.co.kr/kh_news/art_view.html?artid=201405071440191&code=620114,페이스북 공유하기트위터 공유하기공유 더보기
경향신문,2014.05.09,"삼성생명, 삼성자산운용 지분 100% 사들여",http://www.khan.co.kr/kh_news/art_view.html?artid=201405091656091&code=920301,삼성생명이 삼성자산운용 지분을 100 사들였다. 삼성생명은 9일 이사회를 열고 삼성자산운용 전체 지분 100 매입하는 안건을 의결했다. 삼성생명이 현재 보유 중인 삼성자산운용 지분은 5.5다. 이에 지금까지 삼성자산운용 지분을 소유한 삼성증권65.3 삼성중공업3.9 삼성화재1.2 등도 이사회를 열어 각각 지분 매각을 의결했다. 삼성생명은 장기 자산운용 및 해외투자 역량과 삼성자산운용의 펀드 운용 역량을 결합함으로써 시너지를 극대화하고 세계적 자산운용사로의 성장을 추진하기 위한 것이라며 저성장저금리 경제환경하에서 신규 수익기반을 확보하고 변액보험 등 투자형 상품의 경쟁력 제고를 위해 자산운용 역량을 강화하기 위한 차원이라고 설명했다. 이어 삼성생명은 생명보험사가 자산운용사를 보유하는 것은 국제적인 추세로 현재 세계적인 10대 생보사 가운데 9개사가 자산운용사를 보유하고 있다고 덧붙였다.삼성생명은 이날 이사회에서 삼성선물 지분 41를 삼성증권에 매각하는 안건도 의결했다. 
경향신문,2014.05.09,삼성 3세 경영승계 정점은 ‘에버랜드 지주회사 전환’,http://www.khan.co.kr/kh_news/art_view.html?artid=201405092112285&code=920509,이재용 부회장 등 삼남매 지분 41.8 지배구조 전환 작업 시작삼성생명 삼성자산운용 지분 100 매입 선물 지분은 매각삼성SDS가 올해 안에 상장을 추진키로 하면서 삼성그룹 지배구조의 정점으로 삼성에버랜드가 주목받고 있다. 이재용 부회장 등 이건희 삼성전자 회장의 삼남매가 지분을 보유한 삼성에버랜드가 지주회사로 전환하는 게 3세 경영권 승계의 마지막 작업이 될 것이라는 관측이 나온다.이상헌 하이투자증권 연구원은 9일 삼성SDS 상장은 경영권 승계를 위한 지배구조 변환의 신호탄이라며 삼성그룹 지배구조 변환의 핵심은 삼성에버랜드가 지주회사가 돼 실질적인 지분율로 삼성전자 등 삼성그룹을 안정적으로 지배하는 것이며 결국에는 자녀들끼리 계열분리를 정착화하는 것이라고 전망했다. 삼성그룹은 지난해부터 삼성에버랜드의 사업 구조조정 삼성SDI와 제일모직의 합병 삼성종합화학과 삼성석유화학의 합병 등 지배구조 전환 작업을 시작했다. 삼성SDS 상장이 주목받는 이유는 그룹 후계자인 이재용 부회장11.2 이부진 호텔신라 사장3.9 이서현 삼성에버랜드 사장3.9 등이 지분을 보유하고 있기 때문이다. 상장 과정에서 이들 삼남매는 최소 2조원의 자금을 확보할 수 있다. 이 연구원은 삼성그룹 지배구조 변화의 핵심으로 삼성에버랜드를 지목하고 지배구조 전환의 마지막 작업으로 추진할 것이라고 예상했다. 삼성에버랜드는 이재용 부회장25.1 이부진 사장8.37 이서현 사장8.37 등 삼남매 지분율이 41.8에 이른다. 삼성에버랜드를 지주회사로 하고 그 아래 각 계열사를 위치시키면 삼남매가 삼성그룹을 장악하는 새 지배구조 형태를 만들 수 있다.이 연구원은 향후 34년 기간을 정해놓고 단계별로 지주회사로 전환할 가능성이 높고 궁극적으로는 지주회사 전환 이후에 LG그룹처럼 지주회사를 분할함으로써 이재용 부회장 이부진 사장 이서현 사장 등이 계열분리를 할 것으로 예상된다고 말했다. 한편 삼성생명은 이날 이사회를 열어 현재 5.5를 갖고 있는 삼성자산운용 지분을 100 매입하는 안건을 의결했다. 삼성자산운용 지분을 보유한 삼성증권65.3 삼성중공업3.9 삼성화재1.2 등도 이사회에서 각각 지분 매각을 의결했다. 삼성생명은 생명보험사가 자산운용사를 보유하는 것은 국제적인 추세로 현재 세계 10대 생보사 가운데 9개사가 자산운용사를 보유하고 있다고 설명했다. 삼성생명은 삼성선물 지분 41를 삼성증권에 매각하는 안건도 의결했다. 
경향신문,2014.05.13,"[단독]앱카드, 삼성카드만 본인인증 절차 ‘허술’",http://www.khan.co.kr/kh_news/art_view.html?artid=201405130600005&code=920301,전화번호만으로 인증 다른 카드사는 별도 인증번호 요구50여명 명의 도용해 6000만원 빼가 당국 책임 물을 것삼성카드가 앱카드스마트폰 응용프로그램 형태의 모바일 카드 발급 과정에서 휴대폰 본인 인증 절차를 허술하게 운용한 것으로 확인됐다. 삼성카드는 최근 화재사고와 이에 따른 결제시스템 복구 과정에서도 보안 규정을 어긴 사실이 드러나는 등 관련 사고에 잇따라 노출되고 있다. 금융당국 관계자는 12일 최근 앱카드 도용사고를 조사한 결과 앱카드를 출시한 6개 카드사 중 삼성카드만 일부 스마트폰 사용자에 대해 고객 전화번호 입력만으로 본인 인증을 해준 사실이 확인됐다며 철저히 조사해 삼성카드에 책임을 물을 것이라고 밝혔다.삼성카드는 지난달 중순 다른 사람의 앱카드를 사용한 부정 결제 정황을 발견하고 최근 경찰과 금융감독원에 신고했다. 삼성카드는  스미싱 사기단 일당이 문자를 발송해 소비자 정보를 빼낸 뒤 카드사에 앱카드를 부정 신청한 신종 사기사건으로 파악됐다고 설명했다.이 때문에 삼성 앱카드 사용자 50여명이 명의를 도용당해 6000만원가량의 피해를 봤다.스미싱은 엉뚱한 문자메시지를 보내 열어보게 한 뒤 악성코드를 심어 금융정보 등을 빼내는 일종의 스마트폰 해킹이다. 불특정 다수에 유포되는 스미싱의 특성에도 불구하고 삼성카드 고객만 피해를 입은 것이다. 금감원 조사 결과 삼성 갤럭시 등 구글 안드로이드 운영체제OS를 쓰는 스마트폰으로 삼성카드 앱카드를 신청하면 휴대전화 번호가 자동으로 전송되고 카드 신청자와 휴대전화 개설자 실명이 일치해야 발급한다. 그러나 애플 아이폰은 휴대전화 번호 정보를 카드사에 자동 전송하지 못하도록 설계돼 있어 삼성카드는 아이폰 고객이 앱카드를 신청할 때 본인이 직접 휴대전화 번호를 입력하도록 했다.그 결과 사기범들은 타인 명의의 앱카드를 발급받으면서 자신의 휴대전화 번호를 인증용으로 입력해 삼성 앱카드를 설치할 수 있었고 이를 이용해 부정 결제를 벌였다.금감원은 삼성을 제외한 다른 카드사들은 아이폰 사용자에게 별도의 인증번호를 요구하는 등 앱카드 발급 관련 이중 보안시스템을 마련해둔 것으로 파악됐다고 전했다.삼성카드는 지난달 20일 삼성SDS 화재사고로 메인 결제서버가 멈추는 과정에서 관련 규정에 명시된 온라인모바일용 보조 결제서버를 구축하지 않아 온라인모바일 결제가 수일간 먹통이 됐다.결제기능 복구를 위한 임시 서버를 구축하는 과정에서는 당국의 보안성 심의조차 받지 않았다.금감원은 조만간 삼성카드 임시 서버에 대한 보안성 심의를 진행할 것이라고 말했다. 
경향신문,2014.05.14,이건희 회장 입원 후…일가 지분가치 5800억 늘어,http://www.khan.co.kr/kh_news/art_view.html?artid=201405140716281&code=920301,이건희 삼성전자 회장72의 입원 후 이틀 동안 이 회장 일가가 보유한 상장사 지분가치가 6000억원 가까이 늘어난 것으로 집계됐다. 14일 금융투자업계와 재벌닷컴의 자료를 보면 전날 종가 기준으로 이 회장이 가진 상장사 지분가치는 11조1796억원으로 집계됐다. 이는 이 회장이 심장 수술로 입원하기 전인 지난 9일 지분가치10조7180억원보다 4616억원 늘어난 수치다. 이 회장이 보유한 삼성전자의 지분가치가 6조6556억원에서 6조9797억원으로 3241억원 올랐고 삼성생명3조9028억원4조357억원도 1329억원 늘어났다. 이 회장은 삼성전자와 삼성생명 지분을 각각 3.38 20.76 갖고 있다. 이 회장의 지분율이 각각 1.41 0.05인 삼성물산과 삼성전자우의 가치액도 이틀 새 38억원 8억원 늘어났다. 이 회장의 부인인 홍라희 리움미술관 관장과 아들인 이재용 삼성전자 부회장이 가진 삼성전자 지분가치도 각각 704억원 547억원 증가했다. 이로써 이 회장 일가의 상장사 보유지분은 전날 기준 13조8725억원으로 지난 9일13조2858억원보다 5867억원 불어났다.이 회장의 두 딸인 이부진 호텔신라 사장과 이서현 삼성에버랜드 사장이 보유한 상장사 주식은 없다. 그러나 두 사장은 삼성SDS 등 비상장사 주식을 1조원 이상씩 갖고 있다.이 회장 일가의 지분가치액이 늘어난 것은 삼성전자의 주가가 이틀 동안 상승했기 때문이다. 삼성그룹의 상장사 17개 가운데 이틀 새 시가총액이 늘어난 계열사는 10곳이었다.주가 상승에 삼성전자의 시가총액은 지난 9일 196조6446억원에서 9조5745억원 늘어난 206조2191억원이 됐다. 삼성생명 삼성물산 등 주력 계열사의 시가총액도 각각 6400억원 2657억원 늘었다. 이부진이서현 사장이 각각 경영하는 호텔신라와 제일기획의 시총도 864억원 461억원 증가했다.삼성정밀화학39억원 삼성중공업3579억원 에스원418억원 삼성카드1044억원 크레듀463억원의 시총도 불어났다. 반면 삼성SDI1366억원 삼성전기1120억원 삼성화재473억원 제일모직629억원 삼성테크윈796억원 삼성증권190억원 삼성엔지니어링240억원 등 7곳은 시가총액이 감소했다. 
경향신문,2014.05.15,영업용·업무용차 보험료 잇단 인상,http://www.khan.co.kr/kh_news/art_view.html?artid=201405150806371&code=920301,롯데손해보험도 영업용과 업무용 자동차보험료를 16일부터 올리기로 했다. 한화 삼성화재 현대해상 등 주요 손해보험사의 차량 보험료가 속속 인상되는 추세다.롯데손보는 영업용 자동차 보험료를 평균 7.7 올리고 이날부터 업무용은 평균 2.9 인상키로 한 것으로 15일 전해졌다. 영업용 차량은 택시 버스 렌터카 이사 화물차 택배차량 등 운행으로 수익을 얻는 차량을 업무용 차량은 개인용과 영업용을 제외한 법인 차량이다.영업용 차량은 최근 3년간 전체 업계 손해율이 2011년 88.6 2012년 93.0 2013년 98.3로 매년 급격히 상승해 자동차보험의 손해율 상승을 주도하고 있다. 현재까지 악사손해보험을 제외한 모든 손보사가 자동차보험료를 인상하게 됐다.앞서 한화손해보험이 올해 처음으로 개인용업무용영업용 등 모든 차종에 걸쳐 자동차보험료를 평균 1.513.7 올렸다. 온라인 손보사인 더케이손해보험은 개인용 자동차보험료를 평균 3.4 인상한 데 이어 영업용 평균 19.1 업무용 평균 3.3 보험료를 인상했다.온라인 보험사인 현대하이카다이렉트는 개인용 자동차보험료를 2.8 올렸다. MG손해보험은 영업용 자동차보험료를 평균 2.1 업무용을 평균 2.3 각각 올렸다. 흥국화재는 현재까지 업무용 자동차보험료만 3.0 올린 상태다. 시장점유율 상위 대형보험사도 영업용업무용 차량에 한해 보험료를 인상했다. 대신 자동차보험 계약자의 절대다수를 차지하는 개인용 차량의 보험료는 올리지 않기로 했다.삼성화재는 지난 3월 16일부터 영업용 차량에 대해 평균 14.5 지난 3월 31일부터는 업무용 차량에 대해 평균 3.8씩 자동차보험료를 인상했다. 현대해상 동부화재 LIG손해보험 메리츠화재도 지난달 영업용 자동차보험료를 1015 올렸다. 업무용 자동차보험료 인상 폭은 34 수준이다. 
경향신문,2014.05.18,"LIG손해보험 매각 내일 본입찰…KB지주, 롯데그룹 MBK 등 인수후보들 ‘눈치작전’",http://www.khan.co.kr/kh_news/art_view.html?artid=201405181614171&code=920301,LIG손해보험 매각 본 입찰일인 19일 금융지주 대기업 사모펀드 외국계 기업 등 56개사가 입찰에 참여할 것으로 보인다. 18일 금융권에 따르면 KB금융지주 롯데그룹 동양생명보고펀드 자베즈새마을금고 컨소시엄 중국 푸싱그룹이 LIG손보 본입찰에 참여할 것으로 전해졌다. 지난달 LIG그룹과 매각주간사인 골드만삭스는 예비 입찰에 참여한 10여개사 가운데 이들 회사를 포함해 6개사를 적격인수후보쇼트리스트로 선정한 바 있다. 기업 매각에 가장 중요한 변수는 입찰 가격이다. 지난 예비입찰 때 자베즈가 6000억원에 달하는 가격을 제안했고 그 뒤를 이어 롯데그룹 동양 푸싱 MBK 순으로 5000억원대 가격을 써낸 것으로 알려졌다. KB금융지주는 지난 입찰 때 인수 후보자들 가운데 4200억4300억원의 가장 낮은 가격을 제안했다. 그러나 이번 협상은 가격 외에도 고려해야 할 변수가 많아 한 치 앞을 내다볼 수 없다는 게 금융권 안팎의 시각이다. 이런 분위기에도 현재까지 시장에서 LIG손보 매각에 가장 유력한 인수 후보로 꼽히는 후보는 롯데그룹과 KB금융지주다. 롯데그룹은 이번 인수전에서 가장 적극적이다. 손해보험업계에서 시장점유율 3.2에 불과한 롯데손해보험의 시장 확대가 필요하기 때문이다. 2008년 대한화재를 인수해 손해보험업에 뛰어든 롯데는 아직 눈에 띌 만한 성과를 내지 못하고 있다. 롯데그룹이 LIG손보를 인수하면 현대해상을 제치고 삼성화재에 이어 업계 2위 자리를 차지할 수 있다. 그러나 LIG손보 노동조합은 고용 안정성과 영업 측면에서 롯데그룹이 자사와 융합되기 어렵다고 주장하고 있다.경쟁자인 KB금융지주는 60여명의 대규모 실사단을 꾸려 인수 작업에 박차를 가하고 있으나 상황이 녹록하지는 않다. 낮은 입찰 제안 가격도 문제지만 보험업에 대한 전문성이 부족하다는 게 보험업계의 공통된 의견이다. KB금융지주는 그간 사업 다각화 차원에서 몇 차례 보험사와 증권사를 인수하려 했으나 이사회의 의견 결렬에 의해 번번이 실패한 바 있다. 최근 도쿄지점 부당대출과 고객 정보 유출 등 금융시스템 전반에 문제가 있다는 점도 마이너스 요인으로 작용하고 있다.이번 매각 대상은 LIG손보 오너 일가 16명의 지분20.96 가운데 구본상 LIG넥스원 부회장 등 총 9명의 지분을 포함한 19.83다. LIG그룹과 매각주간사인 골드만삭스는 이달 말이나 내달 초 우선협상대상자를 선정해 협상을 진행하고 이르면 6월 말7월 초에 본계약 체결을 진행할 계획이다. 
경향신문,2014.05.19,LIG손보 인수 KB·롯데·동양생명 등 5파전 압축,http://www.khan.co.kr/kh_news/art_view.html?artid=201405192121241&code=920100,LIG손해보험 매각 본입찰에 KB금융지주 롯데그룹 동양생명 자베즈새마을금고 컨소시엄 중국 푸싱그룹 등 5개 회사가 참여했다. 19일 보험업계에 따르면 이들 회사는 본입찰일인 이날 오후 5시 마감 시한 직전에 e메일을 통해 인수 의향서LOI를 제출했다. 이번 매각 대상은 구본상 부회장 등 LIG그룹 오너 일가가 보유한 지분 19.83다. 19일 종가 기준으로 3500억원가량에 이른다. 업계에서는 주가와 경영권 프리미엄 등을 감안하면 매각가는 4000억6000억원 사이가 될 것으로 보고 있다.KB금융지주의 강점은 은행 등을 통한 막대한 자금력 동원을 통해 보험 영업을 하기 가장 좋은 환경이라는 점이다. LIG손보 노동조합이 내심 KB금융으로의 매각을 가장 이상적으로 여기는 이유도 여기에 있다. KB금융으로서도 은행에 쏠린 포트폴리오상 비은행 사업의 확대가 필요한 상황이다. 그러나 다른 경쟁사보다 상대적으로 낮은 인수 제안가격과 이사회의 의견 불일치는 약점으로 꼽힌다. KB금융이 지난 예비입찰 때 제안한 가격은 4200억4300억원으로 가장 낮았다. 이번 본입찰을 앞두고도 임영록 KB금융 회장은 무리한 가격으로의 인수는 지양하겠다는 태도를 견지했다.인수에 가장 적극적인 모습을 보이는 롯데그룹은 LIG손보를 인수해 시장점유율 3대의 금융계열사 롯데손해보험을 상위권으로 끌어올리는 데 관심이 많다. 롯데는 2008년 대한화재를 인수하면서 손보 시장에 뛰어들었지만 가시적인 성과를 내지 못했다. 롯데가 손보업계 시장점유율 4위인 LIG를 인수하면 삼성화재에 이어 단숨에 2위로 도약할 수 있다. 그러나 롯데는 고용 안정성과 영업 측면에서 자사와 융합되기 어렵다고 주장하며 LIG손보 노조가 저항하는 게 가장 큰 골치거리다. 동양생명보고펀드가 만약 LIG손보를 인수하면 생손보 시장의 동시 진출이라는 시너지 효과를 누릴 수 있을 것으로 보인다. 다만 동양생명에 자금을 대는 보고펀드가 사모펀드라는 사실은 걸림돌이다. 단기 차익을 실현하고 투기성이 강하다는 부정적인 인식에 따른 노조의 반발이 거세기 때문이다. 자베즈 파트너스도 같은 맥락에서 자유롭지 못하다. 그러나 새마을금고와 오릭스를 컨소시엄 구성원으로 끌어들여 막대한 자금력을 앞세우고 있다는 점은 최대 강점이다. 자베즈는 지난 예비입찰 때 인수 후보군 중 가장 높은 제안 가격을 써냈다. 중국계 푸싱그룹은 국내 보험산업 현황과 전망을 알아보기 위한 차원에서 이번 인수전에 참여한 것으로 알려졌다.LIG그룹과 매각주간사인 골드만삭스는 이달 말이나 내달 초 우선협상대상자를 선정해 협상을 진행하고 이르면 6월 말7월 초에 본계약 체결을 진행할 계획이다. 
